run	year	tschg	area
4	4	54	528300
4	4	NA	507500
4	5	2	900
4	5	3	1300
4	5	4	1800
4	5	5	15600
4	5	55	528000
4	5	NA	507400
4	6	2	400
4	6	3	900
4	6	4	1300
4	6	5	1800
4	6	6	15500
4	6	56	525600
4	6	NA	504400
4	7	2	5500
4	7	3	400
4	7	4	900
4	7	5	1300
4	7	6	1700
4	7	7	15500
4	7	57	522000
4	7	NA	500300
4	8	2	7800
4	8	3	5200
4	8	4	400
4	8	5	900
4	8	6	1300
4	8	7	1700
4	8	8	15300
4	8	58	517800
4	8	NA	496500
4	9	2	8400
4	9	3	7500
4	9	4	5100
4	9	5	400
4	9	6	900
4	9	7	1300
4	9	8	1700
4	9	9	15200
4	9	59	513600
4	9	NA	493300
4	10	2	8000
4	10	3	8400
4	10	4	7500
4	10	5	5000
4	10	6	400
4	10	7	900
4	10	8	1300
4	10	9	1700
4	10	10	15200
4	10	60	512600
4	10	NA	491900
4	11	2	2500
4	11	3	7800
4	11	4	8400
4	11	5	7500
4	11	6	5000
4	11	7	400
4	11	8	900
4	11	9	1300
4	11	10	1700
4	11	11	15200
4	11	61	511800
4	11	NA	491000
4	12	2	1900
4	12	3	2500
4	12	4	7800
4	12	5	8400
4	12	6	7500
4	12	7	5000
4	12	8	400
4	12	9	900
4	12	10	1300
4	12	11	1700
4	12	12	15200
4	12	62	510700
4	12	NA	490200
4	13	2	1900
4	13	3	1800
4	13	4	2500
4	13	5	7800
4	13	6	8400
4	13	7	7200
4	13	8	5000
4	13	9	400
4	13	10	900
4	13	11	1300
4	13	12	1700
4	13	13	15200
4	13	63	509200
4	13	NA	488200
4	14	2	3800
4	14	3	1900
4	14	4	1800
4	14	5	2500
4	14	6	7800
4	14	7	8400
4	14	8	7200
4	14	9	5000
4	14	10	400
4	14	11	800
4	14	12	1300
4	14	13	1700
4	14	14	15200
4	14	64	507900
4	14	NA	487100
4	15	2	2600
4	15	3	3800
4	15	4	1900
4	15	5	1800
4	15	6	2500
4	15	7	7800
4	15	8	8400
4	15	9	7200
4	15	10	5000
4	15	11	400
4	15	12	800
4	15	13	1300
4	15	14	1700
4	15	15	15200
4	15	65	507900
4	15	NA	486600
4	16	2	500
4	16	3	2600
4	16	4	3700
4	16	5	1900
4	16	6	1800
4	16	7	2400
4	16	8	7600
4	16	9	8000
4	16	10	7200
4	16	11	4900
4	16	12	400
4	16	13	800
4	16	14	1200
4	16	15	1700
4	16	16	14900
4	16	66	496000
4	16	NA	477800
4	17	2	21900
4	17	3	500
4	17	4	2400
4	17	5	3700
4	17	6	1900
4	17	7	1800
4	17	8	2400
4	17	9	7500
4	17	10	8000
4	17	11	7100
4	17	12	4900
4	17	13	400
4	17	14	800
4	17	15	1200
4	17	16	1700
4	17	17	14900
4	17	67	495200
4	17	NA	476900
4	18	2	2200
4	18	3	21900
4	18	4	500
4	18	5	2300
4	18	6	3700
4	18	7	1900
4	18	8	1800
4	18	9	2400
4	18	10	7500
4	18	11	8000
4	18	12	7100
4	18	13	4900
4	18	14	400
4	18	15	800
4	18	16	1200
4	18	17	1700
4	18	18	14900
4	18	68	494200
4	18	NA	476000
4	19	2	2000
4	19	3	2200
4	19	4	21800
4	19	5	500
4	19	6	2300
4	19	7	3700
4	19	8	1800
4	19	9	1700
4	19	10	2400
4	19	11	7500
4	19	12	7900
4	19	13	7100
4	19	14	4900
4	19	15	400
4	19	16	800
4	19	17	1200
4	19	18	1700
4	19	19	14900
4	19	69	489900
4	19	NA	472000
4	20	2	8600
4	20	3	2000
4	20	4	2200
4	20	5	21800
4	20	6	500
4	20	7	2300
4	20	8	3700
4	20	9	1700
4	20	10	1700
4	20	11	2400
4	20	12	7500
4	20	13	7900
4	20	14	6900
4	20	15	4800
4	20	16	400
4	20	17	800
4	20	18	1200
4	20	19	1700
4	20	20	14900
4	20	70	486000
4	20	NA	468900
5	1	51	536400
5	1	NA	515000
5	2	2	4000
5	2	52	535400
5	2	NA	513600
5	3	2	2200
5	3	3	4000
5	3	53	533300
5	3	NA	512300
5	4	2	3600
5	4	3	2200
5	4	4	4000
5	4	54	532600
5	4	NA	511100
5	5	2	1900
5	5	3	3600
5	5	4	2200
5	5	5	4000
5	5	55	531300
5	5	NA	508300
5	6	2	4100
5	6	3	1900
5	6	4	3500
5	6	5	2200
5	6	6	4000
5	6	56	529500
5	6	NA	505500
5	7	2	4600
5	7	3	4100
5	7	4	1700
5	7	5	3500
5	7	6	2200
5	7	7	4000
5	7	57	524800
5	7	NA	501200
5	8	2	9300
5	8	3	4500
5	8	4	4100
5	8	5	1700
5	8	6	3500
5	8	7	2200
5	8	8	3900
5	8	58	523600
5	8	NA	499600
5	9	2	3000
5	9	3	9300
5	9	4	4500
5	9	5	4100
5	9	6	1700
5	9	7	3500
5	9	8	2200
5	9	9	3900
5	9	59	521400
5	9	NA	497700
5	10	2	4100
5	10	3	3000
5	10	4	9100
5	10	5	4400
5	10	6	4000
5	10	7	1600
5	10	8	3500
5	10	9	2200
5	10	10	3900
5	10	60	516300
5	10	NA	493400
5	11	2	9900
5	11	3	4100
5	11	4	3000
5	11	5	9000
5	11	6	4400
5	11	7	4000
5	11	8	1600
5	11	9	3400
5	11	10	2200
5	11	11	3900
5	11	61	512200
5	11	NA	490600
5	12	2	7100
5	12	3	9700
5	12	4	4100
5	12	5	3000
5	12	6	9000
5	12	7	4400
5	12	8	3800
5	12	9	1600
5	12	10	3400
5	12	11	2200
5	12	12	3900
5	12	62	510100
5	12	NA	487300
5	13	2	5800
5	13	3	7000
5	13	4	9400
5	13	5	4100
5	13	6	3000
5	13	7	9000
5	13	8	4400
5	13	9	3800
5	13	10	1600
5	13	11	3400
5	13	12	2200
5	13	13	3900
5	13	63	507800
5	13	NA	485700
5	14	2	4300
5	14	3	5800
5	14	4	7000
5	14	5	9400
5	14	6	4100
5	14	7	3000
5	14	8	9000
5	14	9	4400
5	14	10	3800
5	14	11	1600
5	14	12	3400
5	14	13	2200
5	14	14	3900
5	14	64	505900
5	14	NA	484500
5	15	2	3100
5	15	3	4300
5	15	4	5800
5	15	5	7000
5	15	6	9400
5	15	7	4000
5	15	8	3000
5	15	9	9000
5	15	10	4300
5	15	11	3800
5	15	12	1600
5	15	13	3300
5	15	14	2200
5	15	15	3900
5	15	65	503400
5	15	NA	482800
5	16	2	4500
5	16	3	3100
5	16	4	4200
5	16	5	5600
5	16	6	7000
5	16	7	9400
5	16	8	4000
5	16	9	3000
5	16	10	8900
5	16	11	4300
5	16	12	3800
5	16	13	1600
5	16	14	3300
5	16	15	2200
5	16	16	3900
5	16	66	501600
5	16	NA	480600
5	17	2	4400
5	17	3	4500
5	17	4	3000
5	17	5	4200
5	17	6	5500
5	17	7	7000
5	17	8	9400
5	17	9	4000
5	17	10	3000
5	17	11	8900
5	17	12	4300
5	17	13	3800
5	17	14	1600
5	17	15	3300
5	17	16	2200
5	17	17	3900
5	17	67	501300
5	17	NA	480200
5	18	2	900
5	18	3	4400
5	18	4	4500
5	18	5	3000
5	18	6	4100
5	18	7	5500
5	18	8	7000
5	18	9	9300
5	18	10	4000
5	18	11	3000
5	18	12	8900
5	18	13	4300
5	18	14	3800
5	18	15	1600
5	18	16	3300
5	18	17	2200
5	18	18	3900
5	18	68	500600
5	18	NA	479400
5	19	2	1700
5	19	3	900
5	19	4	4400
5	19	5	4500
5	19	6	3000
5	19	7	4100
5	19	8	5500
5	19	9	7000
5	19	10	9300
5	19	11	4000
5	19	12	3000
