run	year	tschg	area
4	7	57	442100
4	7	NA	486100
4	8	1	9400
4	8	2	13200
4	8	3	47100
4	8	4	14200
4	8	5	2100
4	8	6	2000
4	8	7	9400
4	8	8	38400
4	8	58	435500
4	8	NA	484100
4	9	1	9000
4	9	2	9300
4	9	3	13100
4	9	4	46600
4	9	5	14100
4	9	6	2000
4	9	7	2000
4	9	8	9400
4	9	9	38100
4	9	59	429300
4	9	NA	482500
4	10	1	27700
4	10	2	8500
4	10	3	9300
4	10	4	12800
4	10	5	44000
4	10	6	13900
4	10	7	1900
4	10	8	2000
4	10	9	7900
4	10	10	36200
4	10	60	415000
4	10	NA	476200
4	11	1	20000
4	11	2	27400
4	11	3	8300
4	11	4	9300
4	11	5	12800
4	11	6	42400
4	11	7	13200
4	11	8	1800
4	11	9	2000
4	11	10	7300
4	11	11	35000
4	11	61	402000
4	11	NA	473900
4	12	1	2000
4	12	2	20000
4	12	3	27400
4	12	4	8300
4	12	5	9300
4	12	6	12800
4	12	7	41900
4	12	8	13200
4	12	9	1800
4	12	10	2000
4	12	11	7300
4	12	12	35000
4	12	62	401100
4	12	NA	473300
4	13	1	3300
4	13	2	2000
4	13	3	20000
4	13	4	27300
4	13	5	8100
4	13	6	9300
4	13	7	12700
4	13	8	41800
4	13	9	13000
4	13	10	1800
4	13	11	2000
4	13	12	7300
4	13	13	35000
4	13	63	399400
4	13	NA	472400
4	14	1	14500
4	14	2	3300
4	14	3	1900
4	14	4	19900
4	14	5	27100
4	14	6	8100
4	14	7	9100
4	14	8	12500
4	14	9	41400
4	14	10	13000
4	14	11	1800
4	14	12	1900
4	14	13	7300
4	14	14	34900
4	14	64	390100
4	14	NA	468600
4	15	1	6000
4	15	2	14300
4	15	3	3300
4	15	4	1900
4	15	5	19700
4	15	6	27000
4	15	7	8100
4	15	8	9100
4	15	9	12400
4	15	10	41200
4	15	11	12900
4	15	12	1800
4	15	13	1900
4	15	14	7300
4	15	15	34600
4	15	65	386700
4	15	NA	467200
4	16	1	3900
4	16	2	6000
4	16	3	14300
4	16	4	3300
4	16	5	1900
4	16	6	19600
4	16	7	26900
4	16	8	8100
4	16	9	9100
4	16	10	12400
4	16	11	41200
4	16	12	12900
4	16	13	1800
4	16	14	1900
4	16	15	7200
4	16	16	34600
4	16	66	384100
4	16	NA	466200
4	17	1	30500
4	17	2	3900
4	17	3	5900
4	17	4	14000
4	17	5	3100
4	17	6	1900
4	17	7	18700
4	17	8	24400
4	17	9	8000
4	17	10	9000
4	17	11	12200
4	17	12	39000
4	17	13	12200
4	17	14	1800
4	17	15	1800
4	17	16	7100
4	17	17	32300
4	17	67	368600
4	17	NA	461000
4	18	1	63500
4	18	2	28100
4	18	3	3700
4	18	4	5100
4	18	5	12600
4	18	6	2600
4	18	7	1500
4	18	8	17500
4	18	9	21900
4	18	10	7400
4	18	11	8600
4	18	12	10100
4	18	13	35500
4	18	14	10900
4	18	15	1800
4	18	16	1800
4	18	17	6300
4	18	18	28000
4	18	68	340200
4	18	NA	448300
4	19	1	2200
4	19	2	63300
4	19	3	28100
4	19	4	3700
4	19	5	5100
4	19	6	12600
4	19	7	2600
4	19	8	1500
4	19	9	17500
4	19	10	21800
4	19	11	7400
4	19	12	8600
4	19	13	10100
4	19	14	35400
4	19	15	10900
4	19	16	1800
4	19	17	1800
4	19	18	6300
4	19	19	28000
4	19	69	338800
4	19	NA	447900
4	20	1	8800
4	20	2	2200
4	20	3	63000
4	20	4	27900
4	20	5	3600
4	20	6	5000
4	20	7	12500
4	20	8	2600
4	20	9	1400
4	20	10	17400
4	20	11	21300
4	20	12	7300
4	20	13	8600
4	20	14	9900
4	20	15	34800
4	20	16	10800
4	20	17	1800
4	20	18	1800
4	20	19	6200
4	20	20	27900
4	20	70	333200
4	20	NA	447400
5	0	50	538300
5	0	NA	517100
5	1	1	6800
5	1	51	532100
5	1	NA	516500
5	2	1	9600
5	2	2	6800
5	2	52	525100
5	2	NA	513900
5	3	1	5000
5	3	2	9600
5	3	3	6800
5	3	53	521800
5	3	NA	512200
5	4	1	1400
5	4	2	5000
5	4	3	9600
5	4	4	6800
5	4	54	520700
5	4	NA	511900
5	5	1	7100
5	5	2	1400
5	5	3	5000
5	5	4	9600
5	5	5	6600
5	5	55	516000
5	5	NA	509700
5	6	1	6000
5	6	2	7100
5	6	3	1400
5	6	4	5000
5	6	5	9600
5	6	6	6500
5	6	56	511700
5	6	NA	508100
5	7	1	2200
5	7	2	5900
5	7	3	7100
5	7	4	1400
5	7	5	4900
5	7	6	9500
5	7	7	6500
5	7	57	510200
5	7	NA	507700
5	8	1	10000
5	8	2	2200
5	8	3	5800
5	8	4	7000
5	8	5	1400
5	8	6	4800
5	8	7	9400
5	8	8	6500
5	8	58	503100
5	8	NA	505200
5	9	1	13600
5	9	2	10000
5	9	3	2200
5	9	4	5700
5	9	5	6900
5	9	6	1400
5	9	7	4800
5	9	8	9000
5	9	9	6500
5	9	59	494700
5	9	NA	500600
5	10	1	11300
5	10	2	13600
5	10	3	10000
5	10	4	2200
5	10	5	5700
5	10	6	6900
5	10	7	1400
5	10	8	4400
5	10	9	9000
5	10	10	6400
5	10	60	484500
5	10	NA	5e+05
5	11	1	16100
5	11	2	11100
5	11	3	11900
5	11	4	9900
5	11	5	2200
5	11	6	5700
5	11	7	6500
5	11	8	1400
5	11	9	4300
5	11	10	8800
5	11	11	5900
5	11	61	475200
5	11	NA	496400
5	12	1	700
5	12	2	16100
5	12	3	11100
5	12	4	11900
5	12	5	9800
5	12	6	2200
5	12	7	5700
5	12	8	6500
5	12	9	1400
5	12	10	4300
5	12	11	8700
5	12	12	5900
5	12	62	475000
5	12	NA	496100
5	13	1	9700
5	13	2	700
5	13	3	16100
5	13	4	11000
5	13	5	11900
5	13	6	9800
5	13	7	2200
5	13	8	5700
5	13	9	6500
5	13	10	1400
5	13	11	4200
5	13	12	8600
5	13	13	5900
5	13	63	468600
5	13	NA	493100
5	14	1	3000
5	14	2	9700
5	14	3	700
5	14	4	16000
5	14	5	11000
5	14	6	11900
5	14	7	9400
5	14	8	2200
5	14	9	5700
5	14	10	6400
5	14	11	1400
5	14	12	4200
5	14	13	8600
5	14	14	5900
5	14	64	467200
5	14	NA	492100
5	15	1	26300
5	15	2	3000
5	15	3	9300
5	15	4	700
5	15	5	14100
5	15	6	10900
5	15	7	11300
5	15	8	8900
5	15	9	2200
5	15	10	5400
5	15	11	6400
5	15	12	1400
5	15	13	4100
5	15	14	8400
5	15	15	5900
5	15	65	450600
5	15	NA	486500
5	16	1	4000
5	16	2	26300
5	16	3	3000
5	16	4	9300
5	16	5	700
5	16	6	14000
5	16	7	10900
5	16	8	11300
5	16	9	8700
5	16	10	2200
5	16	11	5400
5	16	12	6400
5	16	13	1400
5	16	14	4100
5	16	15	8400
5	16	16	5900
5	16	66	447800
5	16	NA	485600
5	17	1	4900
5	17	2	4000
5	17	3	26300
5	17	4	3000
5	17	5	9300
5	17	6	700
5	17	7	14000
5	17	8	8600
5	17	9	11300
5	17	10	8700
5	17	11	2200
5	17	12	5300
5	17	13	6300
5	17	14	1400
5	17	15	4100
5	17	16	8300
5	17	17	5900
5	17	67	446000
5	17	NA	485100
5	18	1	3500
5	18	2	4900
5	18	3	4000
5	18	4	26100
5	18	5	3000
5	18	6	9300
5	18	7	700
5	18	8	13700
5	18	9	8600
5	18	10	11300
5	18	11	8700
5	18	12	2200
5	18	13	5300
5	18	14	6300
5	18	15	1400
5	18	16	4100
5	18	17	8300
5	18	18	5900
5	18	68	444000
5	18	NA	484100
5	19	1	19400
5	19	2	3500
5	19	3	4900
5	19	4	3800
5	19	5	25500
5	19	6	3000
5	19	7	9200
5	19	8	700
5	19	9	13400
5	19	10	8300
5	19	11	11200
5	19	12	8700
5	19	13	2100
5	19	14	5100
5	19	15	5900
5	19	16	1400
5	19	17	4100
5	19	18	8100
5	19	19	5700
5	19	69	432600
5	19	NA	478800
5	20	1	14900
5	20	2	19000
5	20	3	3500
5	20	4	4600
5	20	5	3700
5	20	6	25000
5	20	7	3000
5	20	8	8900
5	20	9	500
5	20	10	13300
5	20	11	8200
5	20	12	11100
5	20	13	8500
5	20	14	2000
5	20	15	5000
5	20	16	5800
5	20	17	1200
5	20	18	4100
5	20	19	8000
5	20	20	5700
5	20	70	423800
5	20	NA	475600
6	0	50	538300
6	0	NA	517100
6	1	1	24500
6	1	51	519000
6	1	NA	511900
6	2	1	12900
6	2	2	24100
6	2	52	509700
6	2	NA	508700
6	3	1	9800
6	3	2	12800
6	3	3	23800
6	3	53	501300
6	3	NA	507700
6	4	1	5700
6	4	2	9800
6	4	3	12800
6	4	4	23600
6	4	54	497200
6	4	NA	506300
6	5	1	41200
6	5	2	5700
6	5	3	8900
6	5	4	12500
6	5	5	21900
6	5	55	468000
6	5	NA	497200
6	6	1	37900
6	6	2	38000
6	6	3	5700
6	6	4	8700
6	6	5	11300
6	6	6	21000
